ano,mes,data,regiao,uf,cidade,startup,setor,funcionarios,investimento_recebido,faturamento,crescimento_percentual,estagio,tecnologia_principal,nivel_inovacao
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Startup_060,Edtech,450,54895.53,321370.69,174.56,Seed,IoT,Baixo
2015,2,2015-02-01,Norte,AM,Manaus,Startup_134,IA,634,207358.69,335874.91,80.11,Série B,IA,Disruptivo
2015,2,2015-02-01,Norte,PA,Belém,Startup_031,Agritech,529,409837.17,478504.54,37.43,Scale-up,IoT,Disruptivo
2015,2,2015-02-01,Norte,PA,Santarém,Startup_089,Agritech,487,52865.49,135168.19,168.93,Seed,Big Data,Baixo
2015,2,2015-02-01,Norte,RO,Porto Velho,Startup_027,Edtech,206,567663.82,92339.95,86.59,Ideação,Cloud,Alto
2015,2,2015-02-01,Norte,TO,Palmas,Startup_138,IA,506,109950.8,84730.39,142.24,Ideação,Blockchain,Médio
2015,2,2015-02-01,Nordeste,BA,Salvador,Startup_164,Agritech,69,365638.12,37764.19,23.05,Série B,IA,Baixo
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Startup_148,Edtech,181,72997.04,917975.37,109.84,Ideação,IA,Alto
2015,2,2015-02-01,Nordeste,PE,Recife,Startup_143,Fintech,109,216510.82,104207.81,-7.58,Série A,IA,Disruptivo
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_186,Healthtech,552,28906.09,430128.94,56.2,Ideação,IoT,Baixo
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Startup_113,Healthtech,149,83428.76,170939.29,43.83,Seed,IA,Alto
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Startup_070,Edtech,522,55687.93,119888.45,98.48,Scale-up,IA,Baixo
2015,2,2015-02-01,Nordeste,MA,São Luís,Startup_008,Agritech,547,156606.13,98149.52,115.81,Série A,IoT,Disruptivo
2015,2,2015-02-01,Nordeste,PB,João Pessoa,Startup_046,Fintech,99,90724.5,116812.65,52.34,Série A,Big Data,Baixo
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Startup_147,Retailtech,459,1139419.03,366265.93,159.69,Ideação,Cloud,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Startup_043,Agritech,72,409606.21,64926.72,139.37,Série B,IA,Alto
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,Startup_058,Edtech,714,174183.58,80742.79,70.13,Scale-up,IA,Médio
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Startup_073,Retailtech,400,742159.36,27417.59,166.81,Série B,SaaS,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Startup_136,Edtech,556,17728.84,398173.96,-0.47,Ideação,Blockchain,Médio
2015,2,2015-02-01,Sudeste,SP,São Paulo,Startup_177,Agritech,535,105185.29,50181.2,139.16,Seed,IA,Médio
2015,2,2015-02-01,Sudeste,SP,Campinas,Startup_149,Agritech,780,155065.22,234580.32,119.83,Série B,IA,Alto
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Startup_129,Edtech,420,121515.85,142712.55,160.22,Ideação,SaaS,Médio
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Startup_019,Retailtech,337,486796.45,283142.1,70.24,Ideação,Blockchain,Baixo
2015,2,2015-02-01,Sudeste,RJ,Niterói,Startup_178,Agritech,436,170282.84,13029.65,160.4,Ideação,IA,Alto
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Startup_198,Agritech,30,111977.34,332623.3,8.18,Seed,Cloud,Disruptivo
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Startup_169,Agritech,542,200495.2,770679.93,132.03,Série A,Cloud,Alto
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Startup_017,Agritech,712,88556.0,98938.01,47.74,Série A,Cloud,Alto
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Startup_017,Edtech,151,29145.38,108528.04,65.67,Seed,Cloud,Médio
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Startup_084,Healthtech,731,322212.17,66954.39,20.08,Scale-up,Blockchain,Alto
2015,2,2015-02-01,Sudeste,ES,Vitória,Startup_138,Agritech,137,60851.74,1653137.95,137.87,Série A,IoT,Médio
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Startup_199,Agritech,609,148804.45,115983.61,87.53,Scale-up,SaaS,Baixo
2015,2,2015-02-01,Sudeste,ES,Serra,Startup_050,Healthtech,633,559790.93,89603.54,33.79,Série B,Cloud,Médio
2015,2,2015-02-01,Sul,PR,Curitiba,Startup_080,Retailtech,466,954365.72,49908.34,84.48,Scale-up,Blockchain,Médio
2015,2,2015-02-01,Sul,PR,Londrina,Startup_071,Retailtech,732,254833.15,614554.72,138.95,Scale-up,Cloud,Baixo
2015,2,2015-02-01,Sul,SC,Florianópolis,Startup_182,Retailtech,138,77256.24,287899.79,-10.25,Série B,Blockchain,Médio
2015,2,2015-02-01,Sul,SC,Joinville,Startup_102,Edtech,193,64853.89,524911.71,141.18,Scale-up,IoT,Disruptivo
2015,2,2015-02-01,Sul,RS,Porto Alegre,Startup_134,Healthtech,507,942349.88,352365.93,113.31,Ideação,IoT,Médio
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Startup_163,IA,379,257335.01,104716.51,56.35,Série B,IoT,Alto
2015,3,2015-03-01,Norte,AM,Manaus,Startup_028,Edtech,253,87777.27,182647.4,128.79,Série B,Big Data,Alto
2015,3,2015-03-01,Norte,PA,Belém,Startup_107,Retailtech,745,60371.53,59321.63,98.23,Série A,Blockchain,Baixo
2015,3,2015-03-01,Norte,PA,Santarém,Startup_093,Healthtech,139,22110.92,351367.32,171.77,Série B,IoT,Baixo
2015,3,2015-03-01,Norte,RO,Porto Velho,Startup_058,Edtech,55,108256.74,42553.19,164.05,Série B,Blockchain,Alto
2015,3,2015-03-01,Norte,TO,Palmas,Startup_189,IA,210,236048.61,195455.65,142.07,Série A,Big Data,Alto
2015,3,2015-03-01,Nordeste,BA,Salvador,Startup_009,Fintech,667,67323.68,68170.56,19.2,Seed,SaaS,Baixo
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Startup_101,Agritech,47,296173.57,87584.52,-2.41,Ideação,IoT,Médio
2015,3,2015-03-01,Nordeste,PE,Recife,Startup_028,IA,631,165291.83,1356788.82,159.1,Série B,Big Data,Médio
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_133,Edtech,308,33904.44,62373.57,12.18,Ideação,IoT,Disruptivo
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Startup_099,Agritech,798,112838.45,108136.39,111.92,Série A,Blockchain,Médio
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Startup_032,Healthtech,536,109261.66,231991.0,92.46,Scale-up,Blockchain,Disruptivo
2015,3,2015-03-01,Nordeste,MA,São Luís,Startup_056,Healthtech,59,706238.42,174727.51,146.67,Scale-up,Big Data,Disruptivo
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Startup_151,Edtech,754,92541.9,248947.51,101.59,Seed,Big Data,Alto
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Startup_194,Healthtech,612,41819.18,141773.56,83.25,Seed,SaaS,Alto
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Startup_154,Agritech,747,263819.45,327141.42,-16.44,Ideação,Blockchain,Médio
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Startup_019,Agritech,392,340110.63,94799.03,61.66,Scale-up,SaaS,Disruptivo
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Startup_156,Agritech,792,116430.27,539315.81,-10.74,Série A,IA,Disruptivo
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Startup_125,Healthtech,384,308082.9,222160.68,124.11,Série B,IA,Alto
2015,3,2015-03-01,Sudeste,SP,São Paulo,Startup_124,IA,571,153257.91,2170232.4,-7.39,Série B,Blockchain,Disruptivo
2015,3,2015-03-01,Sudeste,SP,Campinas,Startup_182,Edtech,446,24432.8,697122.53,157.13,Série A,IA,Disruptivo
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Startup_008,Agritech,771,13189.68,59561.86,82.65,Seed,Blockchain,Disruptivo
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Startup_065,Fintech,421,228701.56,59839.86,65.42,Scale-up,Big Data,Disruptivo
2015,3,2015-03-01,Sudeste,RJ,Niterói,Startup_133,Agritech,299,158738.56,192993.43,175.32,Série A,Cloud,Alto
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Startup_031,Edtech,784,17980.57,212621.56,60.05,Ideação,Blockchain,Alto
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Startup_118,Healthtech,698,256794.78,178528.17,39.19,Série A,IA,Baixo
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Startup_198,Retailtech,710,217400.89,115116.11,66.69,Série A,Big Data,Médio
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Startup_085,Fintech,676,134914.65,322947.3,111.49,Seed,IoT,Baixo
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Startup_058,IA,711,99025.99,259976.0,102.47,Scale-up,Big Data,Baixo
2015,3,2015-03-01,Sudeste,ES,Vitória,Startup_038,Healthtech,172,286207.74,128489.41,96.05,Seed,SaaS,Disruptivo
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Startup_101,Edtech,138,66808.84,174039.23,162.89,Série B,Blockchain,Alto
2015,3,2015-03-01,Sudeste,ES,Serra,Startup_123,Edtech,732,254012.61,255511.99,155.96,Série A,SaaS,Disruptivo
2015,3,2015-03-01,Sul,PR,Curitiba,Startup_102,Fintech,573,116789.74,817385.79,77.57,Série B,IoT,Disruptivo
2015,3,2015-03-01,Sul,PR,Londrina,Startup_030,Edtech,136,64299.46,780815.24,113.41,Série A,Big Data,Médio
2015,3,2015-03-01,Sul,SC,Florianópolis,Startup_110,Retailtech,667,305113.37,248093.44,23.06,Scale-up,Cloud,Médio
2015,3,2015-03-01,Sul,SC,Joinville,Startup_195,Agritech,462,68471.68,620603.56,78.74,Série B,Big Data,Alto
2015,3,2015-03-01,Sul,RS,Porto Alegre,Startup_025,Agritech,43,963454.89,90876.71,83.17,Série B,Cloud,Disruptivo
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Startup_131,IA,60,279008.62,298422.43,-13.05,Série B,Cloud,Baixo
2015,4,2015-04-01,Norte,AM,Manaus,Startup_112,Healthtech,155,216390.29,11034.75,86.84,Seed,Blockchain,Alto
2015,4,2015-04-01,Norte,PA,Belém,Startup_185,Retailtech,669,36889.15,400996.09,65.02,Ideação,IoT,Disruptivo
2015,4,2015-04-01,Norte,PA,Santarém,Startup_010,Agritech,734,133702.05,437983.31,145.5,Scale-up,Big Data,Baixo
2015,4,2015-04-01,Norte,RO,Porto Velho,Startup_084,Fintech,730,115969.36,147230.28,117.3,Seed,IoT,Disruptivo
2015,4,2015-04-01,Norte,TO,Palmas,Startup_137,Edtech,152,364603.08,160434.97,16.05,Série B,SaaS,Disruptivo
2015,4,2015-04-01,Nordeste,BA,Salvador,Startup_178,IA,592,68697.76,150138.12,175.01,Série A,Cloud,Disruptivo
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Startup_102,Edtech,263,95658.29,39989.29,172.13,Seed,Cloud,Médio
2015,4,2015-04-01,Nordeste,PE,Recife,Startup_035,Retailtech,611,196210.15,173095.24,66.36,Seed,IoT,Baixo
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_164,Edtech,724,124232.83,168475.45,12.0,Série B,Big Data,Disruptivo
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Startup_120,Agritech,19,98516.77,86696.59,110.4,Scale-up,Blockchain,Disruptivo
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Startup_025,IA,333,56483.58,4681646.97,107.25,Série A,SaaS,Médio
2015,4,2015-04-01,Nordeste,MA,São Luís,Startup_155,Retailtech,86,359388.66,106692.67,67.79,Série B,Cloud,Disruptivo
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Startup_182,Agritech,779,62850.55,508913.1,11.45,Série B,Big Data,Baixo
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Startup_089,Retailtech,33,64784.27,582905.0,57.95,Ideação,Blockchain,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,Startup_180,Retailtech,90,401550.58,112634.14,44.61,Scale-up,SaaS,Disruptivo
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Startup_073,Retailtech,580,33379.07,133605.1,73.53,Scale-up,IA,Alto
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Startup_194,Fintech,704,75284.68,120162.16,157.93,Seed,Big Data,Médio
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Startup_046,Retailtech,402,22958.99,79608.12,-10.13,Ideação,IoT,Médio
2015,4,2015-04-01,Sudeste,SP,São Paulo,Startup_192,Retailtech,712,97767.34,73093.03,168.18,Série A,Big Data,Baixo
2015,4,2015-04-01,Sudeste,SP,Campinas,Startup_091,IA,403,175467.64,93889.59,55.33,Scale-up,Blockchain,Alto
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Startup_105,IA,483,32750.73,773283.13,49.69,Série B,IoT,Baixo
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Startup_038,Retailtech,168,44889.72,510953.38,65.55,Scale-up,Big Data,Baixo
2015,4,2015-04-01,Sudeste,RJ,Niterói,Startup_133,Edtech,394,37293.19,292549.13,60.64,Scale-up,IoT,Baixo
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,Startup_100,Retailtech,417,257957.98,88062.41,14.29,Seed,Cloud,Baixo
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Startup_074,Healthtech,377,1961260.18,82824.12,179.42,Scale-up,Cloud,Alto
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Startup_063,Edtech,572,249425.99,105063.18,20.55,Seed,IoT,Baixo
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Startup_056,Healthtech,110,146536.15,86374.32,66.57,Seed,Cloud,Disruptivo
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Startup_071,Healthtech,696,549340.06,286629.05,171.77,Série B,Blockchain,Disruptivo
2015,4,2015-04-01,Sudeste,ES,Vitória,Startup_038,Healthtech,787,14076.29,69629.27,97.04,Seed,Blockchain,Alto
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Startup_002,IA,707,67053.65,371007.7,99.83,Série A,IoT,Disruptivo
2015,4,2015-04-01,Sudeste,ES,Serra,Startup_063,Edtech,677,914599.91,82960.89,109.34,Ideação,IA,Baixo
2015,4,2015-04-01,Sul,PR,Curitiba,Startup_092,Healthtech,404,233248.12,169252.04,119.38,Seed,IA,Baixo
2015,4,2015-04-01,Sul,PR,Londrina,Startup_170,Healthtech,256,39003.0,116203.8,44.89,Série B,IoT,Disruptivo
2015,4,2015-04-01,Sul,SC,Florianópolis,Startup_197,Healthtech,732,266639.4,293657.17,121.05,Série B,IoT,Disruptivo
2015,4,2015-04-01,Sul,SC,Joinville,Startup_094,Edtech,63,996671.42,617819.52,-11.25,Série A,SaaS,Baixo
2015,4,2015-04-01,Sul,RS,Porto Alegre,Startup_020,Fintech,414,115286.81,23170.01,133.39,Ideação,IoT,Alto
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Startup_008,IA,750,585474.98,103046.87,101.05,Série B,Big Data,Disruptivo
2015,5,2015-05-01,Norte,AM,Manaus,Startup_158,Fintech,559,40516.53,618996.01,151.22,Scale-up,Blockchain,Médio
2015,5,2015-05-01,Norte,PA,Belém,Startup_194,IA,583,54473.07,72117.78,171.54,Scale-up,Cloud,Disruptivo
2015,5,2015-05-01,Norte,PA,Santarém,Startup_128,Healthtech,183,109781.44,267213.14,127.4,Seed,IA,Disruptivo
2015,5,2015-05-01,Norte,RO,Porto Velho,Startup_148,IA,472,50590.94,170995.69,34.85,Scale-up,IA,Médio
2015,5,2015-05-01,Norte,TO,Palmas,Startup_102,Edtech,363,211868.48,126659.27,161.55,Scale-up,Blockchain,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,Startup_087,IA,196,52465.04,235485.19,23.79,Scale-up,Big Data,Baixo
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Startup_173,IA,598,370953.92,187433.79,34.22,Série B,Cloud,Alto
2015,5,2015-05-01,Nordeste,PE,Recife,Startup_128,IA,50,142860.07,143036.14,161.34,Ideação,Big Data,Disruptivo
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_096,Agritech,711,84003.71,390884.29,87.27,Série B,Big Data,Disruptivo
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Startup_085,Fintech,742,116289.09,95487.14,-2.66,Série A,IoT,Baixo
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Startup_016,IA,31,393260.5,7549.87,43.86,Seed,IA,Baixo
2015,5,2015-05-01,Nordeste,MA,São Luís,Startup_157,Fintech,510,241665.69,701691.98,68.07,Seed,IoT,Alto
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Startup_103,Agritech,552,74393.71,363270.29,67.56,Série B,Cloud,Médio
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,Startup_087,Edtech,722,50303.28,175885.7,151.37,Série A,Blockchain,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Startup_142,Agritech,574,108252.6,185254.79,53.26,Série A,SaaS,Disruptivo
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Startup_139,Fintech,413,146316.91,42233.05,152.88,Série A,IA,Médio
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Startup_187,Retailtech,583,43304.4,35050.66,171.76,Ideação,IA,Alto
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Startup_160,Fintech,776,105476.91,882192.82,-13.36,Scale-up,IA,Disruptivo
2015,5,2015-05-01,Sudeste,SP,São Paulo,Startup_048,Agritech,680,55506.15,335364.01,-10.9,Scale-up,Big Data,Médio
2015,5,2015-05-01,Sudeste,SP,Campinas,Startup_001,IA,227,527175.53,481873.62,73.9,Ideação,Cloud,Disruptivo
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Startup_033,Healthtech,235,83932.99,606792.05,81.95,Ideação,Cloud,Disruptivo
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Startup_053,IA,277,222608.6,292211.59,79.06,Ideação,IoT,Disruptivo
2015,5,2015-05-01,Sudeste,RJ,Niterói,Startup_107,Fintech,190,96728.66,114777.98,-19.13,Ideação,Big Data,Disruptivo
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Startup_083,Fintech,681,61958.32,64499.0,-19.69,Seed,Blockchain,Disruptivo
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,Startup_012,Retailtech,159,594579.91,234028.83,17.62,Série B,IoT,Alto
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Startup_052,Edtech,86,289991.31,40632.09,86.91,Seed,Big Data,Disruptivo
2015,5,2015-05-01,Sudeste,MG,Uberlândia,Startup_164,IA,202,278403.1,651713.2,122.02,Série A,Big Data,Alto
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Startup_105,IA,113,137255.55,444104.97,121.48,Scale-up,IA,Alto
2015,5,2015-05-01,Sudeste,ES,Vitória,Startup_145,Retailtech,753,17237.59,139428.44,5.33,Série A,Cloud,Alto
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Startup_150,Edtech,477,111877.9,51990.03,134.82,Série A,Cloud,Médio
2015,5,2015-05-01,Sudeste,ES,Serra,Startup_030,IA,154,137597.76,400634.23,26.76,Série A,SaaS,Baixo
2015,5,2015-05-01,Sul,PR,Curitiba,Startup_016,Edtech,696,77340.15,260640.71,42.57,Scale-up,Blockchain,Alto
2015,5,2015-05-01,Sul,PR,Londrina,Startup_148,Fintech,430,362577.39,198275.16,2.19,Scale-up,Blockchain,Médio
2015,5,2015-05-01,Sul,SC,Florianópolis,Startup_107,Healthtech,452,182182.03,57397.49,138.48,Série B,SaaS,Médio
2015,5,2015-05-01,Sul,SC,Joinville,Startup_097,Retailtech,56,932070.23,219986.76,0.07,Série B,Blockchain,Baixo
2015,5,2015-05-01,Sul,RS,Porto Alegre,Startup_143,Healthtech,460,55727.44,87180.2,41.38,Ideação,IA,Baixo
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Startup_031,Retailtech,398,121095.22,15214.59,50.11,Scale-up,IA,Médio
2015,6,2015-06-01,Norte,AM,Manaus,Startup_125,Healthtech,81,64076.69,114211.22,162.35,Seed,Blockchain,Médio
2015,6,2015-06-01,Norte,PA,Belém,Startup_120,Edtech,743,401299.49,57771.76,49.13,Série A,SaaS,Disruptivo
2015,6,2015-06-01,Norte,PA,Santarém,Startup_106,Agritech,321,770663.95,382329.03,119.27,Scale-up,IoT,Médio
2015,6,2015-06-01,Norte,RO,Porto Velho,Startup_062,IA,336,364999.16,14965.38,-10.23,Scale-up,Cloud,Disruptivo
2015,6,2015-06-01,Norte,TO,Palmas,Startup_129,Retailtech,797,200210.5,484019.43,57.09,Série B,IA,Baixo
2015,6,2015-06-01,Nordeste,BA,Salvador,Startup_117,Retailtech,575,263785.38,33470.29,70.55,Ideação,IA,Disruptivo
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Startup_073,Healthtech,620,670052.27,86306.61,-14.4,Seed,IA,Disruptivo
2015,6,2015-06-01,Nordeste,PE,Recife,Startup_063,IA,461,30611.92,417533.74,137.69,Scale-up,Big Data,Alto
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Startup_102,Edtech,652,48598.94,90247.69,15.61,Série A,SaaS,Baixo
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Startup_153,Agritech,777,158846.46,24701.31,-3.83,Série A,SaaS,Médio
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Startup_186,Agritech,779,166480.34,76268.5,131.97,Série A,IoT,Alto
2015,6,2015-06-01,Nordeste,MA,São Luís,Startup_098,Agritech,123,2096122.35,499250.77,147.26,Scale-up,Cloud,Disruptivo
2015,6,2015-06-01,Nordeste,PB,João Pessoa,Startup_049,IA,138,253945.69,226038.16,92.99,Série B,Cloud,Alto
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,Startup_181,Healthtech,56,146223.25,52200.02,101.07,Scale-up,SaaS,Médio
